Titre,Image,Prix,Catégorie,Editeur,Rouen,Lille,Caen,Web
7e Mer,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10008091_5.jpg,49.9,Jeu de rôle,Agathe Rpg,0,0,0,1
Appel de Cthulhu,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10022225_1.png,39.95,Jeu de rôle,	Edge Entertainment,0,0,0,2
 Aventures en Terre Du Milieu - Guide du Gardien des Légendes,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10010954-0.jpg,32.95,Jeu de rôle,Edge Entertainment,0,0,0,1
Deadlands Reloaded,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10018268-0.jpg,59.9,Jeu de rôle,	Black Book Editions,1,0,0,1
Dungeons & Dragons 5 édition,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/x10006537-0.jpg.pagespeed.ic.PjQR_yM0Z8.webp,50.00,Jeu de rôle,Gale Force Nine,2,2,2,2
Donjon de Naheulbeuk : La geste de Gurdil - Prospection,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10009600-0.jpg,21.00,Jeu de rôle,"Le Grimoire",1,1,1,1
Gobelin qui s'en dédit - livre de règles,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10020350.jpg,40.00,Jeu de rôle,"Posidonia Editions",1,1,1,1
légende des 5 Anneaux 5 Edition,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10019259.png,49.95,Jeu de rôle,	Fantasy Flight Games,1,1,1,2
Lamentations of the Flame Princess - Livre du joueur : règles & magie,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/x10022577.png.pagespeed.ic.6OeE3LHTsS.webp,29.90,Jeu de rôle,	Black Book Editions,1,1,1,1
Lamentations of the Flame Princess - Guide de l'arbitre,https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10022578.png,29.90,Jeu de rôle,"Black Book Editions
",1,1,1,0
