Titre,Image,Prix,Catégorie,Editeur,Rouen,Lille,Caen,Web
100 jours avant ta mort N°01,https://www.bazardubizarre.com/pub/media/catalog/product/placeholder/default/xlogo-simple_1_1.png.pagespeed.ic.MmO6Tlw743.png,7.90,mangas,Glenat,Disponible (15),Disponible (5),Disponible (12),2
12 ans N°01,https://www.bazardubizarre.com/pub/media/catalog/product/placeholder/default/xlogo-simple_1_1.png.pagespeed.ic.MmO6Tlw743.png,6.90,mangas,Glenat,Disponible (1),"Non disponible
",Disponible (1),4
13 ans N°02,https://www.bazardubizarre.com/pub/media/catalog/product/placeholder/default/xlogo-simple_1_1.png.pagespeed.ic.MmO6Tlw743.png,6.90,mangas,Glenat,Disponible (2),"Non disponible
",Disponible (1),4
5 minutes forward N°01,https://www.bazardubizarre.com/pub/media/catalog/product/placeholder/default/xlogo-simple_1_1.png.pagespeed.ic.MmO6Tlw743.png,6.85,mangas,Kana,Disponible (2),Disponible (1),Disponible (1),2
6 minutes forward N°02,https://www.bazardubizarre.com/pub/media/catalog/product/placeholder/default/xlogo-simple_1_1.png.pagespeed.ic.MmO6Tlw743.png,6.86,mangas,Kana,Disponible (2),Disponible (1),Disponible (1),10
50 nuance de gras N°01,https://www.bazardubizarre.com/pub/media/catalog/product/placeholder/default/xlogo-simple_1_1.png.pagespeed.ic.MmO6Tlw743.png,7.50,mangas,Bamboo Doki Doki,Disponible (2),Disponible (3),Disponible (1),2
51 nuance de gras N°02,https://www.bazardubizarre.com/pub/media/catalog/product/placeholder/default/xlogo-simple_1_1.png.pagespeed.ic.MmO6Tlw743.png,7.51,mangas,Bamboo Doki Doki,Disponible (2),Disponible (3),Disponible (1),10
7 Ninjas d'Efu N°01,https://www.bazardubizarre.com/pub/media/catalog/product/placeholder/default/xlogo-simple_1_1.png.pagespeed.ic.MmO6Tlw743.png,6.95,mangas,Meian Editions,"Non disponible
",Disponible (3),Disponible (1),2
8 Ninjas d'Efu N°02,https://www.bazardubizarre.com/pub/media/catalog/product/placeholder/default/xlogo-simple_1_1.png.pagespeed.ic.MmO6Tlw743.png,6.96,mangas,Meian Editions,"Non disponible
",Disponible (3),Disponible (3),4
9 Ninjas d'Efu N°03,https://www.bazardubizarre.com/pub/media/catalog/product/placeholder/default/xlogo-simple_1_1.png.pagespeed.ic.MmO6Tlw743.png,6.97,mangas,Meian Editions,"Non disponible
",Disponible (5),Disponible (2),10
