Titre,Image,Prix,Catégorie,Editeur,Rouen,Lille,Caen,Web
"100 séries d'animation japonaise
",https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/x10021888-0.jpg.pagespeed.ic.qGZGuq7gzj.jpg,29.90,Beaux livres,Ynnis,1,1,0,1
"Atlas illustré de Tolkien
",https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10018695-0.jpg,19.95,Beaux livres,"Hachette Prat
",0,2,1,2
"Codex des 7 Couronnes
",https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/x10023521-0.jpg.pagespeed.ic.Wjr9G4ueoA.jpg,24.95,Beaux livres,Ynnis,1,0,0,2
"Consoles de jeux vidéo : celles qui ont fait l'Histoire du JV
",https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10017870-0.jpg,25.00,Beaux livres,"Omake Books
",1,0,0,12
"DC COMICS ENCYCLOPEDIE ILLUSTREE
",https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10005550-0.jpg,49.95,Beaux livres,Huginn Muninn,1,0,0,1
"Diablo 3 - le Livre de Cain
",https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/x10023141-0.jpg.pagespeed.ic.eUqBCk4eeF.jpg,34.90,Beaux livres,panini,1,0,1,1
"Disney - Alice au Pays des Merveilles
",https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10022715-0.jpg,39.95,Beaux livres,Huginn Muninn,2,0,0,1
"DreamLand - Artbook
",https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10021887-0.jpg,35.00,Beaux livres,Pika,1,0,0,12
"Final Fantasy VII Remake - Livre de cartes postales
",https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10023152-0.jpg,9.90,Beaux livres,"Mana Book
",1,0,0,12
"Game of Thrones - Chronique des saisons
",https://www.bazardubizarre.com/pub/media/catalog/product/cache/62bdbd1ef4aca77774e9252ca53129ae/1/0/10017057-0.jpg,44.95,Beaux livres,Huginn Muninn,2,2,0,1
